baseword,adjword
accepting,acceptance
accepted,acceptance
anger,angry
mad,angry
angriness,angry
shoned,angry
anxiety,anxious
apathy,apathetic
awed,awe
blurred,blurry
boredom,bored
calmer,calm
calmed,calm
calmness,calm
care,caring
comfort,comfortable
concern,concerned
concerned ,concerned
confidence,confident
confusion,confused
connection,connected
connectedness,connected
contentment,content
curiosity,curious
curiosity ,curious
curiousity,curious
darkness,dark
detachment,detached
disappointment,disappointed
disconnect,disconnected
distance,distant
doubt,doubtful
earie,eerie
emerging,emergence
empathy,empathetic
emptiness,empty
engagement,engaged
afraid,fear
scared,fear
dread,fear
fearful,fear
terror,fear
ghostly,haunted
gothic,haunted
free,freedom
guilty,guilt
happiness,happy
happier,happy
glad,happy
joy,happy
joyful,happy
hopeful,hope
hopelessness,hopeless
unhopeful,hopeless
innocent,innocence
intensity,intense
interest,interested
interesting,interested
intrigue,intrigued
intriguing,intrigued
loneliness,lonely
longingness,longing
lostless,lost
loving,love
mystery,mysterious
blank,neutral
none,neutral
nothing,neutral
neurtral,neutral
nostalgic,nostalgia
peace,peaceful
peacefulness,peaceful
pittyful,pity
pensiveness,pensive
pleasantness,pleasant
protectiveness,protective
reflection,reflective
sadness,sad
saddened,sad
melancholy,sad
sorrow,sad
seriousness,serious
trepidation,scared
serene,serenity
softness,soft
sweetness,sweet
sympathetic,sympathy
tenderness,tender
tension,tense
threatening,threatened
tranquility,tranquil
uncertainty,uncertain
unease,uneasy
warm,warmpth
worry,worried
